1,1416613626,8
2,1416613626,8
3,1416613626,3
6,1416613626,19
1,1317611776,8
2,1317611776,5
3,1317611776,18
4,1317611776,8
5,1317611776,14
2,0470281918,3
3,0470281918,17
4,0470281918,19
1,1452212142,10
3,1452212142,4
4,1452212142,5
5,1452212142,16
6,1452212142,12
1,1101220733,10
3,1101220733,15
4,1101220733,17
5,1101220733,19
2,1462511273,8
3,1462511273,15
3,0470894521,18
6,0470894521,9
2,0691198965,3
3,0691198965,18
6,0691198965,15
3,0520241763,13
5,0520241763,4
6,0520241763,7
1,0811864060,14
2,0811864060,20
3,0811864060,12
4,0811864060,11
5,0811864060,6
6,0811864060,10
1,0520249608,13
2,0520249608,4
3,0520249608,14
4,0520249608,12
5,0520249608,11
6,0520249608,20
1,0226014722,10
3,0226014722,20
6,0226014722,6
1,1607749837,19
3,1607749837,13
6,1607749837,5
1,0593138267,17
1,1603582865,19
3,1603582865,18
4,1603582865,14
5,1603582865,4
6,1603582865,15
1,3985947492,20
3,3985947492,19
5,3985947492,5
6,3985947492,4
1,0415341776,20
2,0415341776,9
4,0415341776,5
6,0415341776,6
1,019824553X,9
2,019824553X,12
3,019824553X,6
6,019824553X,5
1,0226580571,15
3,0226580571,19
4,0226580571,3
6,0226580571,8
2,0521446651,18
3,0521446651,8
4,0521446651,6
5,0521446651,4
3,0582414830,3
6,0582414830,7
1,0262720108,6
2,0262720108,8
5,0262720108,5
6,0262720108,18
2,0521429689,3
5,0521429689,4
6,0521429689,11
2,0415116376,16
4,0415116376,4
5,0415116376,8
4,0889203211,13
6,0889203211,14
1,0262521377,11
2,0262521377,11
4,0262521377,14
1,0262037297,10
2,0262037297,17
4,0262037297,9
5,0262037297,20
1,0306465628,16
2,0306465628,18
3,0306465628,8
3,0684863115,12
5,0684863115,6
6,0684863115,9
1,1134926213,5
1,1402070004,14
2,1449646332,14
3,1449646332,13
5,1449646332,19
1,0688146406,13
3,0688146406,6
5,0688146406,9
6,0688146406,18
1,0195187243,5
2,0195187243,4
4,0195187243,11
2,0736068503,19
3,0736068503,8
4,0736068503,11
6,0736068503,12
3,1982188603,5
4,1982188603,14
1,0761165811,11
6,0761165811,7
2,1560064366,17
5,1560064366,12
6,1560064366,9
1,041505382X,20
2,041505382X,7
4,041505382X,3
5,041505382X,10
2,0195305623,6
3,0195305623,15
5,0195305623,17
4,5049682548,3
5,5049682548,14
6,5049682548,6
1,0521497906,19
4,0521497906,8
5,0521497906,17
1,0252013255,20
2,0252013255,17
3,0252013255,4
4,0252013255,8
5,0252013255,15
6,0252013255,16
3,1859846688,9
4,1859846688,11
1,0486139586,10
3,0486139586,6
5,0486139586,17
6,0486139586,5
1,1387849604,5
2,1387849604,13
6,1387849604,3
1,6547168331,10
2,6547168331,17
3,6547168331,5
5,6547168331,7
